APRESENTAÇÃO,Quantidade,Unidade,Descrição do item,Unidades,Com Rev
(300 + 50) MG COM REV CT FR PLAS PEAD OPC X 30,(300 + 50),MG,CT FR PLAS PEAD OPC ,30,COM REV
600 MG COM REV LIB PROL CT FR PLAS PEAD OPC X 60,600,MG,LIB PROL CT FR PLAS PEAD OPC ,60,COM REV
50 MG/ML SOL DIL INFUS IV CT FA VD TRANS X 10 ML,50,MG/ML,SOL DIL INFUS IV CT FA VD TRANS  ML,10,
"11,6 MG/G GEL CT TB AL LAMIN X 30 G  ","11,6",MG/G,GEL CT TB AL LAMIN  G,30,
"11,6 MG/G GEL CT TB AL LAMIN X 60 G  ","11,6",MG/G,GEL CT TB AL LAMIN  G,60,
"11,6 MG/G SOL DERM AER TB AL X 85 ML ","11,6",MG/G,SOL DERM AER TB AL  ML,85,
"0,4 MG CAP DURA LIB MOD CT BL AL PLAS PVC TRANS X 30","0,4",MG,CAP DURA LIB MOD CT BL AL PLAS PVC TRANS ,30,
"0,4 MG CAP DURA LIB MOD CT BL AL PLAS PVC TRANS X 10","0,4",MG,CAP DURA LIB MOD CT BL AL PLAS PVC TRANS ,10,
SOL OTO CT 1 FR PLAS OPC X 8 ML + AMP LIOF 800 UTR,,,SOL OTO CT 1 FR PLAS OPC  ML + AMP LIOF 800 UTR,8,
10 MG COM CT BL AL PLAS INC X 20,10,MG,COM CT BL AL PLAS INC ,20,
5 MG/ML SOL INJ CT 5 AMP X 2 ML,5,MG/ML,SOL INJ CT  AMP  ML,2,
10 MG COM CT BL AL PLAS INC X 30,10,MG,COM CT BL AL PLAS INC ,30,
5 MG/ML SOL INJ CX 25 AMP X 2 ML,5,MG/ML,SOL INJ C AMP  ML,25,
5 MG COM CT BL AL PLAS TRANS X 30,5,MG,COM CT BL AL PLAS TRANS ,30,
5 MG COM CT BL AL PLAS TRANS X 60,5,MG,COM CT BL AL PLAS TRANS ,60,
1 MG/ML XPE CT FR VD AMB X 120 ML + COL,1,MG/ML,XPE CT FR VD AMB  ML + COL,120,
10 MG COM REV LIB PROL CT BL AL PLAS TRANS X 15 ,10,MG,LIB PROL CT BL AL PLAS TRANS ,15,COM REV
10 MG COM REV LIB PROL CT BL AL PLAS TRANS X 30 ,10,MG,LIB PROL CT BL AL PLAS TRANS ,30,COM REV
"0,5 MG COM CT BL AL PLAS AMB X 20","0,5",MG,COM CT BL AL PLAS AMB ,20,
"0,5 MG COM CT BL AL PLAS AMB X 30","0,5",MG,COM CT BL AL PLAS AMB ,30,
"5,4 MG COM CT BL AL PLAS TRANS X 60","5,4",MG,COM CT BL AL PLAS TRANS ,60,
1 MG COM CT 2 BL AL PLAS INC X 10,1,MG,COM CT 2 BL AL PLAS INC ,10,
2 MG COM CT 2 BL AL PLAS INC X 15,2,MG,COM CT  BL AL PLAS INC ,15,
4 MG COM CT 2 BL AL PLAS INC X 15,4,MG,COM CT 2 BL AL PLAS INC ,15,
2 MG COM CT BL AL PLAS INC X 60,2,MG,COM CT BL AL PLAS INC ,60,
4 MG COM CT BL AL PLAS INC X 60,4,MG,COM CT BL AL PLAS INC ,60,
500 MG COM REV CT BL AL PLAS PVC TRANS X 30,500,MG,CT BL AL PLAS PVC TRANS ,30,COM REV
500 MG COM REV CT BL AL PLAS PVC TRANS X 60,500,MG,CT BL AL PLAS PVC TRANS ,60,COM REV
1080 MG COM LIB PROL CT FR PLAS PVC OPC X 60,1080,MG,COM LIB PROL CT FR PLAS PVC OPC ,60,
540 MG COM  LIB PROL CT FR PLAS PVC OPC X 60,540,MG,COM  LIB PROL CT FR PLAS PVC OPC ,60,
1620 MG COM LIB PROL CT FR PLAS PVC OPC X 30,1620,MG,COM LIB PROL CT FR PLAS PVC OPC ,30,
1620 MG COM LIB PROL CT FR PLAS PVC OPC X 60,1620,MG,COM LIB PROL CT FR PLAS PVC OPC ,60,
5 MG COM REV CT BL AL PLAS TRANS X 30 ,5,MG,CT BL AL PLAS TRANS ,30,COM REV
10 MG COM REV CT BL AL PLAS TRANS X 30,10,MG,CT BL AL PLAS TRANS ,30,COM REV
10 MG COM REV CT BL AL PLAS TRANS X 10,10,MG,CT BL AL PLAS TRANS X,10,COM REV
5 MG COM REV CT BL AL PLAS TRANS X 10,5,MG,CT BL AL PLAS TRANS ,10,COM REV
5 MG COM REV CT BL AL PLAS TRANS X 4,5,MG,CT BL AL PLAS TRANS ,4,COM REV
50 MG COM REV CT  BL AL PLAS TRANS X 60,50,MG,CT  BL AL PLAS TRANS ,60,COM REV
50 MG COM REV CT BL AL PLAS TRANS X 5,50,MG,CT BL AL PLAS TRANS ,5,COM REV
50 MG COM REV CT BL AL PLAS TRANS X 30,50,MG,CT BL AL PLAS TRANS ,30,COM REV
100 MG COM REV CT BL AL PLAS TRANS X 30,100,MG,CT BL AL PLAS TRANS ,30,COM REV
100 MG COM CT BL AL PLAS INC X 100,100,MG,COM CT BL AL PLAS INC X,100,
250 MG COM CT BL AL PLAS INC X 20 ,250,MG,COM CT BL AL PLAS INC ,20,
"0,75 MG/G CREM DERM CT BG AL X 50 G","0,75",MG/G,CREM DERM CT BG AL  G,50,
"0,25 MG/G CREM DERM CT BG AL X 50 G","0,25",MG/G,CREM DERM CT BG AL  G,50,
"0,25 MG/ML LOC TOP CT FR PLAS OPC X 60 ML","0,25",MG/ML,LOC TOP CT FR PLAS OPC  ML,60,
1 MG COM REV CT  BL AL PLAS TRANS X 50,1,MG,CT  BL AL PLAS TRANS ,50,COM REV
20 MG/ML SUS INJ CT  FA VD TRANS X 1 ML,20,MG/ML,SUS INJ CT  FA VD TRANS  ML,1,
20 MG/ML SUS INJ CT 5 FA VD TRANS X 1 ML,20,MG/ML,SUS INJ CT 5 FA VD TRANS  ML,1,
20 MG/ML SUS INJ CT  FA VD TRANS X 5 ML,20,MG/ML,SUS INJ CT  FA VD TRANS  ML,5,
50 MG/ML XPE CT FR VD AMB X 120 ML + COL,50,MG/ML,XPE CT FR VD AMB  ML + COL,120,
300 MG COM REV CT BL AL PLAS PVC TRANS X 30,300,MG,CT BL AL PLAS PVC TRANS ,30,COM REV
400 MG COM REV CT BL AL PLAS PVC TRANS X 20,400,MG,CT BL AL PLAS PVC TRANS ,20,COM REV
500 MG COM REV CT BL AL PLAS PVC TRANS X 14,500,MG,CT BL AL PLAS PVC TRANS ,14,COM REV
400 MG COM REV CT BL AL PLAS PVC TRANS X 10 ,400,MG,CT BL AL PLAS PVC TRANS ,10,COM REV
300 MG COM REV CT BL AL PLAS PVC TRANS X 14  ,300,MG,CT BL AL PLAS PVC TRANS ,14,COM REV
500 MG COM REV CT BL AL PLAS PVC TRANS X 7,500,MG,CT BL AL PLAS PVC TRANS ,7,COM REV
600 MG COM REV CT BL AL PLAS PVC TRANS X 4,600,MG,CT BL AL PLAS PVC TRANS ,4,COM REV
600 MG COM REV CT BL AL PLAS PVC TRANS X 7,600,MG,CT BL AL PLAS PVC TRANS ,7,COM REV
600 MG COM REV CT BL AL PLAS PVC TRANS X 14,600,MG,CT BL AL PLAS PVC TRANS ,14,COM REV
500 MG COM REV CT BL AL PLAS PVC TRANS X 4,500,MG,CT BL AL PLAS PVC TRANS ,4,COM REV
500 MG COM REV CT BL AL PLAS PVC+PVDC TRANS X 7,500,MG,CT BL AL PLAS PVC+PVDC TRANS ,7,COM REV
250 MG COM REV CT BL AL PLAS PVC+PVDC TRANS X 7,250,MG,CT BL AL PLAS PVC+PVDC TRANS ,7,COM REV
250 MG COM REV CT BL AL PLAS PVC+PVDC TRANS X 3,250,MG,CT BL AL PLAS PVC+PVDC TRANS ,3,COM REV
500 MG COM REV CT BL AL PLAS PVC+PVDC TRANS X 3 ,500,MG,CT BL AL PLAS PVC+PVDC TRANS ,3,COM REV
500 MG COM REV CT BL AL PLAS PVC+PVDC TRANS X 10,500,MG,CT BL AL PLAS PVC+PVDC TRANS ,10,COM REV
500 MG COM REV CT BL AL PLAS PVC+PVDC TRANS X 14,500,MG,CT BL AL PLAS PVC+PVDC TRANS ,14,COM REV
8 MG COM CT BL AL PLAS PVC/CTFE TRANS X 30,8,MG,COM CT BL AL PLAS PVC/CTFE TRANS ,30,
8 MG COM CT BL AL PLAS PVC/CTFE TRANS X 100,8,MG,COM CT BL AL PLAS PVC/CTFE TRANS ,100,
16 MG COM CT BL AL PLAS PVC/CTFE TRANS X 30,16,MG,COM CT BL AL PLAS PVC/CTFE TRANS ,30,
400 MG COM REV CT  BL AL PLAS TRANS X 60,400,MG,CT  BL AL PLAS TRANS ,60,COM REV
400 MG COM REV CT  BL AL PLAS TRANS X 30,400,MG,CT  BL AL PLAS TRANS ,30,COM REV
400 MG COM REV CT BL AL PLAS TRANS X 14,400,MG,CT BL AL PLAS TRANS ,14,COM REV
400 MG COM REV CT BL AL PLAS TRANS X 7,400,MG,CT BL AL PLAS TRANS ,7,COM REV
400 MG COM REV CT BL AL PLAS TRANS X 6,400,MG,CT BL AL PLAS TRANS ,6,COM REV
"2,5 MG + 150 UTR POM DERM CT BG AL X 10 G","2,5",MG,+ 150 UTR POM DERM CT BG AL  G,10,
"2,5 MG + 150 UTR POM DERM CT BG AL X 20 G","2,5",MG,+ 150 UTR POM DERM CT BG AL  G,20,
25 MG COM CT BL AL PLAS PVC TRANS X 10,25,MG,COM CT BL AL PLAS PVC TRANS ,10,
25 MG COM CT BL AL PLAS PVC TRANS X 15,25,MG,COM CT BL AL PLAS PVC TRANS ,15,
50 MG COM CT BL AL PLAS PVC TRANS X 10,50,MG,COM CT BL AL PLAS PVC TRANS ,10,
50 MG COM CT BL AL PLAS PVC TRANS X 15,50,MG,COM CT BL AL PLAS PVC TRANS ,15,
10 MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 30,10,MG,CT BL AL PLAS PVC/PVDC TRANS ,30,COM REV
10 MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 60 ,10,MG,CT BL AL PLAS PVC/PVDC TRANS ,60,COM REV
10 MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 120 ,10,MG,CT BL AL PLAS PVC/PVDC TRANS ,120,COM REV
10 MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 50,10,MG,CT BL AL PLAS PVC/PVDC TRANS ,50,COM REV
10 MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 15,10,MG,CT BL AL PLAS PVC/PVDC TRANS ,15,COM REV
10 MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 7,10,MG,CT BL AL PLAS PVC/PVDC TRANS ,7,COM REV
20 MG COM REV CT BL AL PLAS PVC TRANS X 10,20,MG,CT BL AL PLAS PVC TRANS ,10,COM REV
20 MG COM REV CT BL AL PLAS PVC TRANS X 30,20,MG,CT BL AL PLAS PVC TRANS ,30,COM REV
20 MG COM REV CT BL AL PLAS PVC TRANS X 60,20,MG,CT BL AL PLAS PVC TRANS ,60,COM REV
40 MG COM REV CT BL AL PLAS TRANS X 30 ,40,MG,CT BL AL PLAS TRANS ,30,COM REV
40 MG COM REV CT BL AL PLAS TRANS X 60,40,MG,CT BL AL PLAS TRANS ,60,COM REV
40 MG COM REV CT BL AL PVC/PVDC OPC X 10,40,MG,CT BL AL PVC/PVDC OPC ,10,COM REV
"1,0 MG COM CT BL AL PLAS AMB X 30","1,0",MG,COM CT BL AL PLAS AMB ,30,
24 MG COM CT BL AL PLAS PVC/CTFE TRANS X 30,24,MG,COM CT BL AL PLAS PVC/CTFE TRANS ,30,
24 MG COM CT BL AL PLAS PVC/CTFE TRANS X 60,24,MG,COM CT BL AL PLAS PVC/CTFE TRANS ,60,
6 MG PÓ LIOF CAP GEL DURA CT BL AL PLAS INC X 10  ,6,MG,PÓ LIOF CAP GEL DURA CT BL AL PLAS INC ,10,
6 MG PÓ LIOF CAP GEL DURA CT BL AL PLAS INC X 30,6,MG,PÓ LIOF CAP GEL DURA CT BL AL PLAS INC ,30,
150 MG COM LIB PROL CT BL AL PLAS OPC X 10,150,MG,COM LIB PROL CT BL AL PLAS OPC ,10,
150 MG COM LIB PROL CT BL AL PLAS OPC X 20,150,MG,COM LIB PROL CT BL AL PLAS OPC ,20,
150 MG COM LIB PROL CT BL AL PLAS OPC X 30,150,MG,COM LIB PROL CT BL AL PLAS OPC ,30,
2 MG COM CT BL AL PLAS PVC TRANS X 30,2,MG,COM CT BL AL PLAS PVC TRANS ,30,
5 MG COM CT BL AL PLAS PVC TRANS X 30,5,MG,COM CT BL AL PLAS PVC TRANS ,30,
60 MG/G POM DERM CT BG AL X 20 G,60,MG/G,POM DERM CT BG AL  G,20,
60 MG/G POM DERM CT BG AL X 50 G,60,MG/G,POM DERM CT BG AL  G,50,
400 MG COM REV CT BL AL PLAS TRANS X 30,400,MG,CT BL AL PLAS TRANS ,30,COM REV
400 MG COM REV CT BL AL PLAS TRANS X 60,400,MG,CT BL AL PLAS TRANS ,60,COM REV
5 MG + 30 MG COM REV CT BL AL PLAS TRANS X 4,5,MG,+ 30   CT BL AL PLAS TRANS ,4,COM REV
5 MG + 30 MG COM REV CT BL AL PLAS TRANS X 15,5,MG,+ 30   CT BL AL PLAS TRANS ,15,COM REV
10 MG + 60 MG COM REV CT BL AL PLAS TRANS X 4,10,MG,+ 60   CT BL AL PLAS TRANS ,4,COM REV
10 MG + 60 MG COM REV CT BL AL PLAS TRANS X 15,10,MG,+ 60   CT BL AL PLAS TRANS ,15,COM REV
500 MG CAP DURA CT BL AL AL X 5,500,MG,CAP DURA CT BL AL AL ,5,
500 MG CAP DURA CT BL AL AL X 30,500,MG,CAP DURA CT BL AL AL ,30,
500 MG CAP DURA CT BL AL AL X 60,500,MG,CAP DURA CT BL AL AL ,60,
10 MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 60 ,10,MG,CT BL AL PLAS PVC/PVDC TRANS ,60,COM REV
10 MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 7,10,MG,CT BL AL PLAS PVC/PVDC TRANS ,7,COM REV
20 MG COM REV CT BL AL PLAS PVC TRANS X 10,20,MG,CT BL AL PLAS PVC TRANS ,10,COM REV
20 MG COM REV CT BL AL PLAS PVC TRANS X 30,20,MG,CT BL AL PLAS PVC TRANS ,30,COM REV
20 MG COM REV CT BL AL PLAS PVC TRANS X 60,20,MG,CT BL AL PLAS PVC TRANS ,60,COM REV
10 MG/ML SOL OR CT FR GOT VD AMB X 15 ML,10,MG/ML,SOL OR CT FR GOT VD AMB  ML,15,
10 MG/ML SOL OR CT FR GOT VD AMB X 30 ML,10,MG/ML,SOL OR CT FR GOT VD AMB  ML,30,
10 MG/ML SOL OR CT FR GOT VD AMB X 50 ML ,10,MG/ML,SOL OR CT FR GOT VD AMB  ML,50,
10 MG/ML SOL OR CT 2 FR GOT VD AMB X 50 ML ,10,MG/ML,SOL OR CT 2 FR GOT VD AMB  ML,50,
10 MG/ML SOL OR CT 3 FR GOT VD AMB X 50 ML ,10,MG/ML,SOL OR CT 3 FR GOT VD AMB  ML,50,
7 MG CAPS GEL DURA CT BL AL PLAST INC X 10 ,7,MG,CAPS GEL DURA CT BL AL PLAST INC ,10,
7 MG CAPS GEL DURA CT BL AL PLAST INC X 30 ,7,MG,CAPS GEL DURA CT BL AL PLAST INC ,30,
"3,5 MG CAPS GEL DURA CT BL AL PLAST INC X 10 ","3,5",MG,CAPS GEL DURA CT BL AL PLAST INC ,10,
"3,5 MG CAPS GEL DURA CT BL AL PLAST INC X 30","3,5",MG,CAPS GEL DURA CT BL AL PLAST INC ,30,
"3,5 MG GRAN CT SACH X 10 ","3,5",MG,GRAN CT SACH ,10,
"3,5 MG GRAN CT SACH X 30","3,5",MG,GRAN CT SACH ,30,
750 MG COM REV CT BL AL PLAS INC X 5,750,MG,CT BL AL PLAS INC ,5,COM REV
750 MG COM REV CT BL AL PLAS INC X 7,750,MG,CT BL AL PLAS INC ,7,COM REV
750 MG COM REV CT BL AL PLAS INC X 14,750,MG,CT BL AL PLAS INC ,14,COM REV
"5,631G GRAN CT ENV AL PE X 8G","5,631G",GRAN,CT ENV AL PE G,8,
"5,631G GRAN CT 2 ENV AL PE X 8G","5,631G",GRAN,CT 2 ENV AL PE G,8,
50 MG CAP DURA CT BL AL PLAS PVC TRANS X 30,50,MG,CAP DURA CT BL AL PLAS PVC TRANS ,30,
50 MG CAP DURA CT BL AL PLAS PVC TRANS X 28,50,MG,CAP DURA CT BL AL PLAS PVC TRANS ,28,
50 MG CAP DURA CT BL AL PLAS PVC TRANS X 15,50,MG,CAP DURA CT BL AL PLAS PVC TRANS ,15,
50 MG CAP DURA CT BL AL PLAS PVC TRANS X 14,50,MG,CAP DURA CT BL AL PLAS PVC TRANS ,14,
75 MG CAP DURA CT BL AL PLAS PVC TRANS X 30,75,MG,CAP DURA CT BL AL PLAS PVC TRANS ,30,
75 MG CAP DURA CT BL AL PLAS PVC TRANS X 28,75,MG,CAP DURA CT BL AL PLAS PVC TRANS ,28,
75 MG CAP DURA CT BL AL PLAS PVC TRANS X 15,75,MG,CAP DURA CT BL AL PLAS PVC TRANS ,15,
75 MG CAP DURA CT BL AL PLAS PVC TRANS X 14,75,MG,CAP DURA CT BL AL PLAS PVC TRANS ,14,
150 MG CAP DURA CT BL AL PLAS PVC TRANS X 30,150,MG,CAP DURA CT BL AL PLAS PVC TRANS ,30,
150 MG CAP DURA CT BL AL PLAS PVC TRANS X 28,150,MG,CAP DURA CT BL AL PLAS PVC TRANS ,28,
150 MG CAP DURA CT BL AL PLAS PVC TRANS X 15,150,MG,CAP DURA CT BL AL PLAS PVC TRANS ,15,
150 MG CAP DURA CT BL AL PLAS PVC TRANS X 14,150,MG,CAP DURA CT BL AL PLAS PVC TRANS ,14,
25 MG CAP DURA CT BL AL PLAS PVC TRANS X 14,25,MG,CAP DURA CT BL AL PLAS PVC TRANS ,14,
25 MG CAP DURA CT BL AL PLAS PVC TRANS X 15,25,MG,CAP DURA CT BL AL PLAS PVC TRANS ,15,
25 MG CAP DURA CT BL AL PLAS PVC TRANS X 28,25,MG,CAP DURA CT BL AL PLAS PVC TRANS ,28,
25 MG CAP DURA CT BL AL PLAS PVC TRANS X 30,25,MG,CAP DURA CT BL AL PLAS PVC TRANS ,30,
50 MG CAP DURA CT BL AL PLAS PVC TRANS X 7,50,MG,CAP DURA CT BL AL PLAS PVC TRANS ,7,
75 MG CAP DURA CT BL AL PLAS PVC TRANS X 7,75,MG,CAP DURA CT BL AL PLAS PVC TRANS ,7,
25 MG CAP DURA CT BL AL PLAS PVC TRANS X 7,25,MG,CAP DURA CT BL AL PLAS PVC TRANS ,7,
100 MG CAP DURA CT BL AL PLAS PVC/PVDC TRANS X  7,100,MG,CAP DURA CT BL AL PLAS PVC/PVDC TRANS ,,
100 MG CAP DURA CT BL AL PLAS PVC/PVDC TRANS X  30,100,MG,CAP DURA CT BL AL PLAS PVC/PVDC TRANS ,,
50 MG CAP DURA CT BL AL PLAS PVC TRANS X 60,50,MG,CAP DURA CT BL AL PLAS PVC TRANS ,60,
75 MG CAP DURA CT BL AL PLAS PVC TRANS X 60,75,MG,CAP DURA CT BL AL PLAS PVC TRANS ,60,
100 MG CAP DURA CT BL AL PLAS PVC/PVDC TRANS X  60,100,MG,CAP DURA CT BL AL PLAS PVC/PVDC TRANS ,,
150 MG CAP DURA CT BL AL PLAS PVC TRANS X 60,150,MG,CAP DURA CT BL AL PLAS PVC TRANS ,60,
300 MG COM REV CT BL AL PLAS TRANS X 30,300,MG,CT BL AL PLAS TRANS ,30,COM REV
400 MG COM REV CT BL AL PLAS TRANS X 20,400,MG,CT BL AL PLAS TRANS ,20,COM REV
500 MG COM REV CT BL AL PLAS TRANS X 14,500,MG,CT BL AL PLAS TRANS ,14,COM REV
400 MG COM REV CT BL AL PLAS TRANS X 10 ,400,MG,CT BL AL PLAS TRANS ,10,COM REV
300 MG COM REV CT BL AL PLAS TRANS X 60,300,MG,CT BL AL PLAS TRANS ,60,COM REV
300 MG COM REV CT BL AL PLAS TRANS X 10 ,300,MG,CT BL AL PLAS TRANS ,10,COM REV
300 MG COM REV CT BL AL PLAS TRANS X 14  ,300,MG,CT BL AL PLAS TRANS ,14,COM REV
500 MG COM REV CT BL AL PLAS TRANS X 7,500,MG,CT BL AL PLAS TRANS ,7,COM REV
40 MG COM REV LIB RETARD CT BL AL PLAS ACLAR/PVC TRANS X 6,40,MG,LIB RETARD CT BL AL PLAS ACLAR/PVC TRANS ,6,COM REV
40 MG COM REV LIB RETARD CT BL AL PLAS ACLAR/PVC TRANS X 10,40,MG,LIB RETARD CT BL AL PLAS ACLAR/PVC TRANS ,10,COM REV
40 MG COM REV LIB RETARD CT BL AL PLAS ACLAR/PVC TRANS X 14,40,MG,LIB RETARD CT BL AL PLAS ACLAR/PVC TRANS ,14,COM REV
40 MG COM REV LIB RETARD CT BL AL PLAS ACLAR/PVC TRANS X 30,40,MG,LIB RETARD CT BL AL PLAS ACLAR/PVC TRANS ,30,COM REV
40 MG COM REV LIB RETARD CT BL AL PLAS ACLAR/PVC TRANS X 45,40,MG,LIB RETARD CT BL AL PLAS ACLAR/PVC TRANS ,45,COM REV
40 MG COM REV LIB RETARD CT BL AL PLAS ACLAR/PVC TRANS X 60,40,MG,LIB RETARD CT BL AL PLAS ACLAR/PVC TRANS ,60,COM REV
40 MG COM REV LIB RETARD CT BL AL PLAS ACLAR/PVC TRANS X 90,40,MG,LIB RETARD CT BL AL PLAS ACLAR/PVC TRANS ,90,COM REV
40 MG COM REV LIB RETARD CT BL AL PLAS ACLAR/PVC TRANS X 2,40,MG,LIB RETARD CT BL AL PLAS ACLAR/PVC TRANS ,2,COM REV
40 MG COM REV LIB RETARD CT BL AL PLAS ACLAR/PVC TRANS X 7,40,MG,LIB RETARD CT BL AL PLAS ACLAR/PVC TRANS ,7,COM REV
40 MG COM REV LIB RETARD CT BL AL PLAS ACLAR/PVC TRANS X 15,40,MG,LIB RETARD CT BL AL PLAS ACLAR/PVC TRANS ,15,COM REV
40 MG COM REV LIB RETARD CT BL AL PLAS ACLAR/PVC TRANS X 28,40,MG,LIB RETARD CT BL AL PLAS ACLAR/PVC TRANS ,28,COM REV
5000 UI COM MAST CT BL AL PLAS PVC/PVDC OPC X 10,5000,UI,COM MAST CT BL AL PLAS PVC/PVDC OPC ,10,
5000 UI COM MAST CT BL AL PLAS PVC/PVDC OPC X 30,5000,UI,COM MAST CT BL AL PLAS PVC/PVDC OPC ,30,
7000 UI COM MAST CT BL AL PLAS PVC/PVDC OPC X 10,7000,UI,COM MAST CT BL AL PLAS PVC/PVDC OPC ,10,
7000 UI COM MAST CT BL AL PLAS PVC/PVDC OPC X 30,7000,UI,COM MAST CT BL AL PLAS PVC/PVDC OPC ,30,
10000 UI COM MAST CT BL AL PLAS PVC/PVDC OPC X 10,10000,UI,COM MAST CT BL AL PLAS PVC/PVDC OPC ,10,
10000 UI COM MAST CT BL AL PLAS PVC/PVDC OPC X 30,10000,UI,COM MAST CT BL AL PLAS PVC/PVDC OPC ,30,
50000 UI COM REV CT BL AL PLAS PVC/PVDC OPC X 4,50000,UI,CT BL AL PLAS PVC/PVDC OPC ,4,COM REV
7000 UI COM MAST CT BL AL PLAS PVC/PVDC OPC X 4,7000,UI,COM MAST CT BL AL PLAS PVC/PVDC OPC ,4,
7000 UI COM MAST CT BL AL PLAS PVC/PVDC OPC X 8,7000,UI,COM MAST CT BL AL PLAS PVC/PVDC OPC ,8,
5000 UI COM MAST CT BL AL PLAS PVC/PVDC OPC X 60,5000,UI,COM MAST CT BL AL PLAS PVC/PVDC OPC ,60,
5000 UI COM MAST CT BL AL PLAS PVC/PVDC OPC X 90,5000,UI,COM MAST CT BL AL PLAS PVC/PVDC OPC ,90,
7000 UI COM MAST CT BL AL PLAS PVC/PVDC OPC X 60,7000,UI,COM MAST CT BL AL PLAS PVC/PVDC OPC ,60,
7000 UI COM MAST CT BL AL PLAS PVC/PVDC OPC X 90,7000,UI,COM MAST CT BL AL PLAS PVC/PVDC OPC ,90,
10000 UI COM MAST CT BL AL PLAS PVC/PVDC OPC X 60,10000,UI,COM MAST CT BL AL PLAS PVC/PVDC OPC ,60,
10000 UI COM MAST CT BL AL PLAS PVC/PVDC OPC X 90,10000,UI,COM MAST CT BL AL PLAS PVC/PVDC OPC ,90,
50000 UI COM REV CT BL AL PLAS PVC/PVDC OPC X 8,50000,UI,CT BL AL PLAS PVC/PVDC OPC ,8,COM REV
50000 UI COM REV CT BL AL PLAS PVC/PVDC OPC X 12,50000,UI,CT BL AL PLAS PVC/PVDC OPC ,12,COM REV
2000UI + 100MCG COM REV CT BL AL PLAS PVC/PCTFE OPC X 10,2000UI,+,100MCG  CT BL AL PLAS PVC/PCTFE OPC ,10,COM REV
2000UI + 100MCG COM REV CT BL AL PLAS PVC/PCTFE OPC X 14,2000UI,+,100MCG  CT BL AL PLAS PVC/PCTFE OPC ,14,COM REV
2000UI + 100MCG COM REV CT BL AL PLAS PVC/PCTFE OPC X 30,2000UI,+,100MCG  CT BL AL PLAS PVC/PCTFE OPC ,30,COM REV
2000UI + 100MCG COM REV CT BL AL PLAS PVC/PCTFE OPC X 60,2000UI,+,100MCG  CT BL AL PLAS PVC/PCTFE OPC ,60,COM REV
2000UI + 100MCG COM REV CT BL AL PLAS PVC/PCTFE OPC X 90,2000UI,+,100MCG  CT BL AL PLAS PVC/PCTFE OPC ,90,COM REV
7000UI + 100MCG COM REV CT BL AL PLAS PVC/PCTFE OPC X 4,7000UI,+,100MCG  CT BL AL PLAS PVC/PCTFE OPC ,4,COM REV
7000UI + 100MCG COM REV CT BL AL PLAS PVC/PCTFE OPC X 8,7000UI,+,100MCG  CT BL AL PLAS PVC/PCTFE OPC ,8,COM REV
7000UI + 100MCG COM REV CT BL AL PLAS PVC/PCTFE OPC X 12,7000UI,+,100MCG  CT BL AL PLAS PVC/PCTFE OPC ,12,COM REV
50000UI + 100MCG COM REV CT BL AL PLAS PVC/PCTFE OPC X 4,50000UI,+,100MCG  CT BL AL PLAS PVC/PCTFE OPC ,4,COM REV
50000UI + 100MCG COM REV CT BL AL PLAS PVC/PCTFE OPC X 8,50000UI,+,100MCG  CT BL AL PLAS PVC/PCTFE OPC ,8,COM REV
50000UI + 100MCG COM REV CT BL AL PLAS PVC/PCTFE OPC X 12,50000UI,+,100MCG  CT BL AL PLAS PVC/PCTFE OPC ,12,COM REV
7000UI + 100MCG COM REV CT BL AL PLAS PVC/PCTFE OPC X 10,7000UI,+,100MCG  CT BL AL PLAS PVC/PCTFE OPC ,10,COM REV
7000UI + 100MCG COM REV CT BL AL PLAS PVC/PCTFE OPC X 14,7000UI,+,100MCG  CT BL AL PLAS PVC/PCTFE OPC ,14,COM REV
7000UI + 100MCG COM REV CT BL AL PLAS PVC/PCTFE OPC X 30,7000UI,+,100MCG  CT BL AL PLAS PVC/PCTFE OPC ,30,COM REV
7000UI + 100MCG COM REV CT BL AL PLAS PVC/PCTFE OPC X 60,7000UI,+,100MCG  CT BL AL PLAS PVC/PCTFE OPC ,60,COM REV
7000UI + 100MCG COM REV CT BL AL PLAS PVC/PCTFE OPC X 90,7000UI,+,100MCG  CT BL AL PLAS PVC/PCTFE OPC ,90,COM REV
"2,5 MG + 150 UTR POM DERM CT BG AL X 10 G","2,5",MG,+ 150 UTR POM DERM CT BG AL  G,10,
"2,5 MG + 150 UTR POM DERM CT BG AL X 20 G","2,5",MG,+ 150 UTR POM DERM CT BG AL  G,20,
25 MG COM CT BL AL PLAS PVC TRANS X 10,25,MG,COM CT BL AL PLAS PVC TRANS ,10,
25 MG COM CT BL AL PLAS PVC TRANS X 15,25,MG,COM CT BL AL PLAS PVC TRANS ,15,
50 MG COM CT BL AL PLAS PVC TRANS X 10,50,MG,COM CT BL AL PLAS PVC TRANS ,10,
