APRESENTAÇÃO,Quantidade,Tipo de Produto,Detalhes da Embalagem,Unidades
50 MG COM REV CT BL AL/AL X 10,50 MG,COM REV CT BL AL,/AL,X 10
50 MG COM REV CT BL AL/AL X 30,50 MG,COM REV CT BL AL,/AL,X 30
50 MG COM REV CT BL AL/AL X 60,50 MG,COM REV CT BL AL,/AL,X 60
100 MG COM REV CT BL AL/AL X 10,100 MG,COM REV CT BL AL,/AL,X 10
100 MG COM REV CT BL AL/AL X 30,100 MG,COM REV CT BL AL,/AL,X 30
100 MG COM REV CT BL AL/AL X 60,100 MG,COM REV CT BL AL,/AL,X 60
2 MG COM CT BL AL PLAS PVC/PE/PVDC TRANS X 30,2 MG,COM CT BL AL PLAS PVC,/PE/PVDC TRANS,X 30
4 MG COM CT BL AL PLAS PVC/PE/PVDC TRANS X 30,4 MG,COM CT BL AL PLAS PVC,/PE/PVDC TRANS,X 30
4 MG COM CT BL AL PLAS PVC/PE/PVDC TRANS X 60 ,4 MG,COM CT BL AL PLAS PVC,/PE/PVDC TRANS,X 60
75 MG COM REV CT BL AL AL X 14,75 MG,COM REV CT BL AL AL X 14,,
75 MG COM REV CT BL AL AL X 28,75 MG,COM REV CT BL AL AL X 28,,
75 MG COM REV CT BL AL AL X 56,75 MG,COM REV CT BL AL AL X 56,,
75 MG COM REV CT BL AL/ AL X 14,75 MG,COM REV CT BL AL,/ AL,X 14
75 MG COM REV CT BL AL/ AL X 28,75 MG,COM REV CT BL AL,/ AL,X 28
75 MG COM REV CT BL AL/ AL X 56,75 MG,COM REV CT BL AL,/ AL,X 56
"50 MG/ML + 12,5 MG/ML PÓ P/ SUSP ORAL CT FR VD AMB X 75 ML + COL",50 MG,,"/ML + 12,5 MG/ML PÓ P/ SUSP ORAL CT FR VD AMB  ML + COL",X 75
"(80+11,4) MG/ML PO SUS OR CT FR VD AMB X 70 ML + COL","(80+11,4) MG",,/ML PO SUS OR CT FR VD AMB  ML + COL,X 70
500 MG COM REV CT BL AL PLAS TRANS X 3,500 MG,COM REV CT BL AL PLAS TRANS X 3,,
500 MG COM REV CT BL AL PLAS TRANS X 7,500 MG,COM REV CT BL AL PLAS TRANS X 7,,
500 MG COM REV CT BL AL PLAS TRANS X 10,500 MG,COM REV CT BL AL PLAS TRANS X 10,,
750 MG COM REV CT BL AL AL X 5,750 MG,COM REV CT BL AL AL X 5,,
750 MG COM REV CT BL AL AL X 7,750 MG,COM REV CT BL AL AL X 7,,
400 MG COM REV CT BL AL AL X 14,400 MG,COM REV CT BL AL AL X 14,,
50 MG COM REV CT BL AL PLAS OPC X 30,50 MG,COM REV CT BL AL PLAS OPC X 30,,
500 MG COM REV CT BL AL PLAS OPC X 2,500 MG,COM REV CT BL AL PLAS OPC X 2,,
500 MG COM REV CT BL AL PLAS OPC X 3,500 MG,COM REV CT BL AL PLAS OPC X 3,,
500 MG COM REV CT BL AL PLAS OPC X 5,500 MG,COM REV CT BL AL PLAS OPC X 5,,
4 MG COM CT BL AL PLAS TRANS X 20,4 MG,COM CT BL AL PLAS TRANS X 20,,
4 MG COM CT BL AL PLAS TRANS X 30,4 MG,COM CT BL AL PLAS TRANS X 30,,
2 MG COM CT BL AL PLAS TRANS X 30,2 MG,COM CT BL AL PLAS TRANS X 30,,
1 MG COM REV CT BL AL PLAS PVC/PE/PVDC TRANS X 20,1 MG,COM REV CT BL AL PLAS PVC,/PE/PVDC TRANS,X 20
1 MG COM REV CT BL AL PLAS PVC/PE/PVDC TRANS X 30,1 MG,COM REV CT BL AL PLAS PVC,/PE/PVDC TRANS,X 30
1 MG COM REV CT BL AL PLAS PVC/PE/PVDC TRANS X 60,1 MG,COM REV CT BL AL PLAS PVC,/PE/PVDC TRANS,X 60
2 MG COM REV CT BL AL PLAS PVC/PE/PVDC TRANS X 20,2 MG,COM REV CT BL AL PLAS PVC,/PE/PVDC TRANS,X 20
2 MG COM REV CT BL AL PLAS PVC/PE/PVDC TRANS X 30,2 MG,COM REV CT BL AL PLAS PVC,/PE/PVDC TRANS,X 30
2 MG COM REV CT BL AL PLAS PVC/PE/PVDC TRANS X 60,2 MG,COM REV CT BL AL PLAS PVC,/PE/PVDC TRANS,X 60
3 MG COM REV CT BL AL PLAS PVC/PE/PVDC TRANS X 20,3 MG,COM REV CT BL AL PLAS PVC,/PE/PVDC TRANS,X 20
3 MG COM REV CT BL AL PLAS PVC/PE/PVDC TRANS X 30,3 MG,COM REV CT BL AL PLAS PVC,/PE/PVDC TRANS,X 30
3 MG COM REV CT BL AL PLAS PVC/PE/PVDC TRANS X 60,3 MG,COM REV CT BL AL PLAS PVC,/PE/PVDC TRANS,X 60
500 MG CAP DURA CT BL AL PLAS TRANS X 08 ,500 MG,CAP DURA CT BL AL PLAS TRANS X 08,,
"80 MG/ML + 11,4 MG/ML PO SUS  CT FR VD AMB X 70 ML + COP",80 MG,,"/ML + 11,4 MG/ML PO SUS  CT FR VD AMB  ML + COP",X 70
500 MG + 125 MG COM REV CT STR AL/AL X 14,500 MG,,+ 125 MG COM REV CT STR AL/AL,X 14
500 MG + 125 MG COM REV CT STR AL/AL X 21,500 MG,,+ 125 MG COM REV CT STR AL/AL,X 21
20 MG COM REV LIB RETARD CT BL AL/AL X 14,20 MG,COM REV LIB RETARD CT BL AL,/AL,X 14
20 MG COM REV LIB RETARD CT BL AL/AL X 28,20 MG,COM REV LIB RETARD CT BL AL,/AL,X 28
40 MG COM REV LIB RETARD CT BL AL/AL X 14,40 MG,COM REV LIB RETARD CT BL AL,/AL,X 14
40 MG COM REV LIB RETARD CT BL AL/AL X 28,40 MG,COM REV LIB RETARD CT BL AL,/AL,X 28
20 MG COM REV LIB RETARD CT BL AL/AL X 42,20 MG,COM REV LIB RETARD CT BL AL,/AL,X 42
40 MG COM REV LIB RETARD CT BL AL/AL X 42,40 MG,COM REV LIB RETARD CT BL AL,/AL,X 42
(500+125) MG COM REV CT STR AL/AL X 14 ,(500+125) MG,COM REV CT STR AL,/AL,X 14
(500+125) MG COM REV CT STR AL/AL X 21,(500+125) MG,COM REV CT STR AL,/AL,X 21
(500+125) MG COM REV CT STR AL/AL X 30,(500+125) MG,COM REV CT STR AL,/AL,X 30
(500+125) MG COM REV CT STR AL/AL X 12,(500+125) MG,COM REV CT STR AL,/AL,X 12
(500+125) MG COM REV CT STR AL/AL X 18,(500+125) MG,COM REV CT STR AL,/AL,X 18
30 MG COM REV CT BL AL PLAS TRANS X 14,30 MG,COM REV CT BL AL PLAS TRANS X 14,,
30 MG COM REV CT BL AL PLAS TRANS X 28,30 MG,COM REV CT BL AL PLAS TRANS X 28,,
45 MG COM REV CT BL AL PLAS TRANS X 28,45 MG,COM REV CT BL AL PLAS TRANS X 28,,
30 MG COM REV CT BL AL PLAS TRANS X 60,30 MG,COM REV CT BL AL PLAS TRANS X 60,,
30 MG COM REV CT BL AL PLAS TRANS X 7,30 MG,COM REV CT BL AL PLAS TRANS X 7,,
30 MG COM REV CT BL AL PLAS TRANS X 14,30 MG,COM REV CT BL AL PLAS TRANS X 14,,
30 MG COM REV CT BL AL PLAS TRANS X 28,30 MG,COM REV CT BL AL PLAS TRANS X 28,,
45 MG COM REV CT BL AL PLAS TRANS X 28,45 MG,COM REV CT BL AL PLAS TRANS X 28,,
15 MG COM ORODISP CT BL AL AL X 7,15 MG,COM ORODISP CT BL AL AL X 7,,
15 MG COM ORODISP CT BL AL AL X 28,15 MG,COM ORODISP CT BL AL AL X 28,,
30 MG COM ORODISP CT BL AL AL X 14,30 MG,COM ORODISP CT BL AL AL X 14,,
30 MG COM ORODISP CT BL AL AL X 28,30 MG,COM ORODISP CT BL AL AL X 28,,
45 MG COM ORODISP CT BL AL AL X 28,45 MG,COM ORODISP CT BL AL AL X 28,,
10 MG COM REV CT BL AL PLAS PVC/PE/PVDC TRANS X 30,10 MG,COM REV CT BL AL PLAS PVC,/PE/PVDC TRANS,X 30
20 MG COM REV CT BL AL PLAS PVC/PE/PVDC TRANS X 10,20 MG,COM REV CT BL AL PLAS PVC,/PE/PVDC TRANS,X 10
20 MG COM REV CT BL AL PLAS PVC/PE/PVDC TRANS X 30,20 MG,COM REV CT BL AL PLAS PVC,/PE/PVDC TRANS,X 30
20 MG COM REV CT BL AL PLAS PVC/PE/PVDC TRANS X 60,20 MG,COM REV CT BL AL PLAS PVC,/PE/PVDC TRANS,X 60
40 MG COM REV CT BL AL PLAS PVC/PE/PVDC TRANS X 30,40 MG,COM REV CT BL AL PLAS PVC,/PE/PVDC TRANS,X 30
20 MG COM REV CT BL AL PLAS PVC/PE/PVDC TRANS X 150,20 MG,COM REV CT BL AL PLAS PVC,/PE/PVDC TRANS,X 150
10 MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 30,10 MG,COM REV CT BL AL PLAS PVC,/PVDC TRANS,X 30
20 MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 30,20 MG,COM REV CT BL AL PLAS PVC,/PVDC TRANS,X 30
20 MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 150,20 MG,COM REV CT BL AL PLAS PVC,/PVDC TRANS,X 150
40 MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 30,40 MG,COM REV CT BL AL PLAS PVC,/PVDC TRANS,X 30
70 MG COM REV CT BL AL AL X 4,70 MG,COM REV CT BL AL AL X 4,,
70 MG COM REV CT BL AL/AL X 4,70 MG,COM REV CT BL AL,/AL,X 4
70 MG COM REV CT BL AL/AL X 8,70 MG,COM REV CT BL AL,/AL,X 8
"0,06 MG + 0,015 MG COM REV CT BL AL PLAS PVC/PE/PVDC TRANS X 24","0,06 MG",,"+ 0,015 MG COM REV CT BL AL PLAS PVC/PE/PVDC TRANS",X 24
"0,06 MG + 0,015 MG COM REV CT BL AL PLAS PVC/PE/PVDC TRANS X 72","0,06 MG",,"+ 0,015 MG COM REV CT BL AL PLAS PVC/PE/PVDC TRANS",X 72
8 MG COM CT BL AL/AL X 30,8 MG,COM CT BL AL,/AL,X 30
8 MG COM CT BL AL/AL X 60,8 MG,COM CT BL AL,/AL,X 60
16 MG COM CT BL AL/AL X 30,16 MG,COM CT BL AL,/AL,X 30
16 MG COM CT BL AL/AL X 60,16 MG,COM CT BL AL,/AL,X 60
"0,06 MG + 0,015 MG COM REV CT BL AL PLAS PVC/PE/PVDC TRANS X 72","0,06 MG",,"+ 0,015 MG COM REV CT BL AL PLAS PVC/PE/PVDC TRANS",X 72
25 MG COM CT BL AL PLAS TRANS X 4,25 MG,COM CT BL AL PLAS TRANS X 4,,
50 MG COM CT BL AL PLAS TRANS X 1 ,50 MG,COM CT BL AL PLAS TRANS X 1,,
50 MG COM CT BL AL PLAS TRANS X 2,50 MG,COM CT BL AL PLAS TRANS X 2,,
50 MG COM CT BL AL PLAS TRANS X 4,50 MG,COM CT BL AL PLAS TRANS X 4,,
50 MG COM CT BL AL PLAS TRANS X 8,50 MG,COM CT BL AL PLAS TRANS X 8,,
100 MG COM CT BL AL PLAS TRANS X 4,100 MG,COM CT BL AL PLAS TRANS X 4,,
50 MG COM CT BL AL PLAS TRANS X 1,50 MG,COM CT BL AL PLAS TRANS X 1,,
50 MG COM CT BL AL PLAS TRANS X 2,50 MG,COM CT BL AL PLAS TRANS X 2,,
50 MG COM CT BL AL PLAS TRANS X 4,50 MG,COM CT BL AL PLAS TRANS X 4,,
50 MG COM CT BL AL PLAS TRANS X 8,50 MG,COM CT BL AL PLAS TRANS X 8,,
5 MG COM REV CT BL AL AL X 10,5 MG,COM REV CT BL AL AL X 10,,
10 MG COM REV CT BL AL AL X 10,10 MG,COM REV CT BL AL AL X 10,,
5 MG COM REV CT BL AL AL X 30,5 MG,COM REV CT BL AL AL X 30,,
10 MG COM REV CT BL AL AL X 30,10 MG,COM REV CT BL AL AL X 30,,
5MG COM REV CT BL AL AL X 30 ,5MG,COM REV CT BL AL AL X 30,,
10MG COM REV CT BL AL AL X 30,10MG,COM REV CT BL AL AL X 30,,
25 MG COM REV CT BL AL PLAS TRANS X 14,25 MG,COM REV CT BL AL PLAS TRANS X 14,,
25 MG COM REV CT BL AL PLAS TRANS X 30,25 MG,COM REV CT BL AL PLAS TRANS X 30,,
25 MG COM REV CT BL AL PLAS TRANS X 60,25 MG,COM REV CT BL AL PLAS TRANS X 60,,
100 MG COM REV OR CT BL AL PLAS TRANS X 28,100 MG,COM REV OR CT BL AL PLAS TRANS X 28,,
100 MG COM REV OR CT BL AL PLAS TRANS X 30,100 MG,COM REV OR CT BL AL PLAS TRANS X 30,,
200 MG COM REV OR CT BL AL PLAS TRANS X 28,200 MG,COM REV OR CT BL AL PLAS TRANS X 28,,
200 MG COM REV OR CT BL AL PLAS TRANS X 30,200 MG,COM REV OR CT BL AL PLAS TRANS X 30,,
"5 MG (15 UI) SOL INJ CT CARP VD TRANS X 1,5 ML",5 MG,,"(15 UI) SOL INJ CT CARP VD TRANS ,5 ML",X 1
"10 MG (30 UI) SOL INJ CT CARP VD TRANS X 1,5 ML",10 MG,,"(30 UI) SOL INJ CT CARP VD TRANS ,5 ML",X 1
"15 MG (45UI) SOL INJ CT 1 CARP VD TRANS X 1,5 ML",15 MG,,"(45UI) SOL INJ CT 1 CARP VD TRANS ,5 ML",X 1
25 MG COM REV CT BL AL PLAS TRANS X 14  ,25 MG,COM REV CT BL AL PLAS TRANS X 14,,
25 MG COM REV CT BL AL PLAS TRANS X 30,25 MG,COM REV CT BL AL PLAS TRANS X 30,,
100 MG COM REV CT BL AL PLAS TRANS X 14 ,100 MG,COM REV CT BL AL PLAS TRANS X 14,,
100 MG COM REV CT BL AL PLAS TRANS X 30,100 MG,COM REV CT BL AL PLAS TRANS X 30,,
200 MG COM REV CT BL AL PLAS TRANS X 30,200 MG,COM REV CT BL AL PLAS TRANS X 30,,
10 MG COM REV CT BL AL AL X 30,10 MG,COM REV CT BL AL AL X 30,,
10 MG COM REV CT BL AL AL X 60,10 MG,COM REV CT BL AL AL X 60,,
20 MG COM REV CT BL AL AL X 30,20 MG,COM REV CT BL AL AL X 30,,
20 MG COM REV CT BL AL AL X 60,20 MG,COM REV CT BL AL AL X 60,,
5 MG COM REV CT BL AL AL X 30,5 MG,COM REV CT BL AL AL X 30,,
15 MG COM ORODISP CT BL AL/AL X 28,15 MG,COM ORODISP CT BL AL,/AL,X 28
30 MG COM ORODISP CT BL AL/AL X 14,30 MG,COM ORODISP CT BL AL,/AL,X 14
30 MG COM ORODISP CT BL AL/AL X 28,30 MG,COM ORODISP CT BL AL,/AL,X 28
45 MG COM ORODISP CT BL AL/AL X 28,45 MG,COM ORODISP CT BL AL,/AL,X 28
"0,075 MG COM REV CT BL AL PLAS PVDC TRANS X 28 ","0,075 MG",COM REV CT BL AL PLAS PVDC TRANS X 28,,
"0,075 MG COM REV CT BL AL PLAS PVDC TRANS X 56","0,075 MG",COM REV CT BL AL PLAS PVDC TRANS X 56,,
"0,075 MG COM REV CT BL AL PLAS PVDC TRANS X 84","0,075 MG",COM REV CT BL AL PLAS PVDC TRANS X 84,,
"0,075 MG COM REV CT BL AL PLAS TRANS X 28 ","0,075 MG",COM REV CT BL AL PLAS TRANS X 28,,
"0,075 MG COM REV CT BL AL PLAS TRANS X 84","0,075 MG",COM REV CT BL AL PLAS TRANS X 84,,
1 MG COM REV CT BL AL PLAS TRANS X 60,1 MG,COM REV CT BL AL PLAS TRANS X 60,,
1 MG COM REV CT BL AL PLAS TRANS X 20,1 MG,COM REV CT BL AL PLAS TRANS X 20,,
2 MG COM REV CT BL AL PLAS TRANS X 20 ,2 MG,COM REV CT BL AL PLAS TRANS X 20,,
3 MG COM REV CT BL AL PLAS TRANS X 20,3 MG,COM REV CT BL AL PLAS TRANS X 20,,
1 MG COM REV CT BL AL PLAS TRANS X 30,1 MG,COM REV CT BL AL PLAS TRANS X 30,,
2 MG COM REV CT BL AL PLAS TRANS X 30,2 MG,COM REV CT BL AL PLAS TRANS X 30,,
3 MG COM REV CT BL AL PLAS TRANS X 30,3 MG,COM REV CT BL AL PLAS TRANS X 30,,
1 MG COM REV CT BL AL PLAS TRANS X 10,1 MG,COM REV CT BL AL PLAS TRANS X 10,,
2 MG COM REV CT BL AL PLAS TRANS X 10,2 MG,COM REV CT BL AL PLAS TRANS X 10,,
2 MG COM REV CT BL AL PLAS TRANS X 60,2 MG,COM REV CT BL AL PLAS TRANS X 60,,
3 MG COM REV CT BL AL PLAS TRANS X 10,3 MG,COM REV CT BL AL PLAS TRANS X 10,,
3 MG COM REV CT BL AL PLAS TRANS X 60,3 MG,COM REV CT BL AL PLAS TRANS X 60,,
"3,00 MG + 0,03 MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 21","3,00 MG",,"+ 0,03 MG COM REV CT BL AL PLAS PVC/PVDC TRANS",X 21
10 MG COM REV LIB RETARD CT BL AL AL X 14,10 MG,COM REV LIB RETARD CT BL AL AL X 14,,
20 MG COM REV LIB RETARD CT BL AL AL X 14,20 MG,COM REV LIB RETARD CT BL AL AL X 14,,
20 MG COM REV LIB RETARD CT BL AL AL X 28,20 MG,COM REV LIB RETARD CT BL AL AL X 28,,
10 MG COM REV LIB RETARD CT BL AL AL X 14,10 MG,COM REV LIB RETARD CT BL AL AL X 14,,
20 MG COM REV LIB RETARD CT BL AL AL X 14,20 MG,COM REV LIB RETARD CT BL AL AL X 14,,
20 MG COM REV LIB RETARD CT BL AL AL X 28,20 MG,COM REV LIB RETARD CT BL AL AL X 28,,
2 MG COM CT BL AL PLAS PVC TRANS X 12 ,2 MG,COM CT BL AL PLAS PVC TRANS X 12,,
"0,02 MG + 0,15 MG COM REV CT BL AL PLAS TRANS X 21","0,02 MG",,"+ 0,15 MG COM REV CT BL AL PLAS TRANS",X 21
"0,03 MG + 0,15 MG COM REV CT BL AL PLAS TRANS X 21 ","0,03 MG",,"+ 0,15 MG COM REV CT BL AL PLAS TRANS",X 21
"50 MG + 12,5 MG COM REV CT BL AL PLAS OPC X 30 ",50 MG,,"+ 12,5 MG COM REV CT BL AL PLAS OPC",X 30
"16 MG + 12,5 MG COM CT BL AL AL X 30",16 MG,,"+ 12,5 MG COM CT BL AL AL",X 30
5 MG COM REV CT BL AL AL X 10,5 MG,COM REV CT BL AL AL X 10,,
10 MG COM CT BL AL AL X 30,10 MG,COM CT BL AL AL X 30,,
10 MG COM CT BL AL AL X 60,10 MG,COM CT BL AL AL X 60,,
50 MG COM REV CT BL AL PLAS OPC X 30,50 MG,COM REV CT BL AL PLAS OPC X 30,,
10 MG COM REV CT AL/AL X 30,10 MG,COM REV CT AL,/AL,X 30
20 MG COM REV CT AL/AL X 30,20 MG,COM REV CT AL,/AL,X 30
40 MG COM REV CT AL/AL X 30,40 MG,COM REV CT AL,/AL,X 30
"3,00 MG + 0,03 MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 21","3,00 MG",,"+ 0,03 MG COM REV CT BL AL PLAS PVC/PVDC TRANS",X 21
6 MG/ML SOL INJ IV CT FA VD TRANS X 5ML,6 MG,,/ML SOL INJ IV CT FA VD TRANS ML,X 5
200MG COM REV CT BL AL PLAS TRANS X 14,200MG,COM REV CT BL AL PLAS TRANS X 14,,
5 MG COM CT BL AL PLAS PVC OPC X 30,5 MG,COM CT BL AL PLAS PVC OPC X 30,,
10 MG COM CT BL AL PLAS PVC OPC X 30,10 MG,COM CT BL AL PLAS PVC OPC X 30,,
5 MG COM CT BL AL PLAS PVC OPC X 60,5 MG,COM CT BL AL PLAS PVC OPC X 60,,
10 MG COM CT BL AL PLAS PVC OPC X 60,10 MG,COM CT BL AL PLAS PVC OPC X 60,,
1000 MG COM CT BL AL PLAS OPC X 2,1000 MG,COM CT BL AL PLAS OPC X 2,,
1000 MG COM CT BL AL PLAS OPC X 4,1000 MG,COM CT BL AL PLAS OPC X 4,,
6 MG/ML SOL INJ IV CT FA VD TRANS X 5 ML,6 MG,,/ML SOL INJ IV CT FA VD TRANS  ML,X 5
"6 MG/ML SOL INJ IV CT ENVOL FA VD TRANS X 16,7ML",6 MG,,"/ML SOL INJ IV CT ENVOL FA VD TRANS ,7ML",X 16
10 MG COM REV CT BL AL AL X 10 ,10 MG,COM REV CT BL AL AL X 10,,
10 MG COM REV CT BL AL AL X 30,10 MG,COM REV CT BL AL AL X 30,,
10 MG COM REV CT BL AL AL X 60,10 MG,COM REV CT BL AL AL X 60,,
20 MG COM REV CT BL AL AL X 10 ,20 MG,COM REV CT BL AL AL X 10,,
20 MG COM REV CT BL AL AL X 30,20 MG,COM REV CT BL AL AL X 30,,
20 MG COM REV CT BL AL AL X 60,20 MG,COM REV CT BL AL AL X 60,,
5 MG COM REV CT BL AL AL X 10,5 MG,COM REV CT BL AL AL X 10,,
5 MG COM REV CT BL AL AL X 30,5 MG,COM REV CT BL AL AL X 30,,
5 MG COM REV CT BL AL AL X 60,5 MG,COM REV CT BL AL AL X 60,,
10 MG COM REV CT AL/AL X 30,10 MG,COM REV CT AL,/AL,X 30
20 MG COM REV CT AL/AL X 30,20 MG,COM REV CT AL,/AL,X 30
20 MG COM REV CT BL AL PVC/PVDC OPC X 30,20 MG,COM REV CT BL AL PVC,/PVDC OPC,X 30
"7,5 MG COM CT BL AL PLAS PVDC TRANS X 10","7,5 MG",COM CT BL AL PLAS PVDC TRANS X 10,,
15 MG COM CT BL AL PLAS PVDC TRANS X 10,15 MG,COM CT BL AL PLAS PVDC TRANS X 10,,
"7,5 MG COM CT BL AL PLAS PVDC TRANS X 10","7,5 MG",COM CT BL AL PLAS PVDC TRANS X 10,,
15 MG COM CT BL AL PLAS  PVDC TRANS X 10,15 MG,COM CT BL AL PLAS  PVDC TRANS X 10,,
20 MG COM REV CT BL AL AL X 60,20 MG,COM REV CT BL AL AL X 60,,
20 MG COM REV CT BL AL AL X 30,20 MG,COM REV CT BL AL AL X 30,,
10 MG COM REV CT BL AL AL X 60,10 MG,COM REV CT BL AL AL X 60,,
10 MG COM REV CT BL AL AL X 30,10 MG,COM REV CT BL AL AL X 30,,
15 MG COM REV CT BL AL AL X 30,15 MG,COM REV CT BL AL AL X 30,,
"(160,00+5,00) MG COM REV CT BL AL AL X 28","(160,00+5,00) MG",COM REV CT BL AL AL X 28,,
10 MG COM REV CT BL AL PLAS TRANS X 30,10 MG,COM REV CT BL AL PLAS TRANS X 30,,
10 MG COM REV CT BL AL PLAS TRANS X 60,10 MG,COM REV CT BL AL PLAS TRANS X 60,,
"(160,00+12,50+5,00) MG COM REV CT BL AL AL X 28","(160,00+12,50+5,00) MG",COM REV CT BL AL AL X 28,,
"(160,00+25,00+5,00) MG COM REV CT BL AL AL X 28","(160,00+25,00+5,00) MG",COM REV CT BL AL AL X 28,,
"(320,00+25,00+10,00) MG COM REV CT BL AL AL X 28","(320,00+25,00+10,00) MG",COM REV CT BL AL AL X 28,,
100 MG + 25 MG COM CT BL AL PLAS PVC/PE/PVDC TRANS X 30,100 MG,,+ 25 MG COM CT BL AL PLAS PVC/PE/PVDC TRANS,X 30
"50 MG + 12,5 MG COM CT BL AL PLAS PVC/PE/PVDC TRANS X 30",50 MG,,"+ 12,5 MG COM CT BL AL PLAS PVC/PE/PVDC TRANS",X 30
15 MG COM  CT BL AL/AL X 30,15 MG,COM  CT BL AL,/AL,X 30
10 MG COM  CT BL AL/AL X 30,10 MG,COM  CT BL AL,/AL,X 30
20 MG COM  CT  BL AL/AL X 30,20 MG,COM  CT  BL AL,/AL,X 30
30 MG COM  CT BL AL/AL X 30,30 MG,COM  CT BL AL,/AL,X 30
10 MG COM  CT BL AL/AL X 60,10 MG,COM  CT BL AL,/AL,X 60
15 MG COM  CT BL AL/AL X 60,15 MG,COM  CT BL AL,/AL,X 60
200 MG PO LIOF SOL INJ CT FA VD TRANS,200 MG,PO LIOF SOL INJ CT FA VD TRANS,,
15 MG COM  CT BL AL/AL X 30,15 MG,COM  CT BL AL,/AL,X 30
10 MG COM  CT BL AL/AL X 30,10 MG,COM  CT BL AL,/AL,X 30
30 MG COM  CT BL AL/AL X 30,30 MG,COM  CT BL AL,/AL,X 30
15 MG COM  CT BL AL/AL X 10,15 MG,COM  CT BL AL,/AL,X 10
10 MG COM  CT BL AL/AL X 10,10 MG,COM  CT BL AL,/AL,X 10
20 MG COM  CT  BL AL/AL X 10,20 MG,COM  CT  BL AL,/AL,X 10
30 MG COM  CT BL AL/AL X 10,30 MG,COM  CT BL AL,/AL,X 10
300 MG CAP DURA CT BL AL PLAS TRANS X 30,300 MG,CAP DURA CT BL AL PLAS TRANS X 30,,
"30 MUI SOL INJ CT 1 SER PREENC VD TRANS X 0,5 ML",30 MUI,SOL INJ CT 1 SER PREENC VD TRANS X 0,",5 ML",
4 MG SOL INJ CT FA PLAS TRANS X 100 ML ,4 MG,SOL INJ CT FA PLAS TRANS X 100 ML,,
100 MG COM SOL CT BL AL PLAS TRANS X 15,100 MG,COM SOL CT BL AL PLAS TRANS X 15,,
1 MG  COM VER CT BL AL PLAS TRANS X 30,1 MG,COM VER CT BL AL PLAS TRANS X 30,,
10 MG COM REV CT BL AL PLAS OPC X 20 ,10 MG,COM REV CT BL AL PLAS OPC X 20,,
10 MG COM REV CT BL AL PLAS OPC X 30 ,10 MG,COM REV CT BL AL PLAS OPC X 30,,
50 MG/ML SOL INJ IM CT X 2 SER PREENC VD TRANS X 5ML + 2 AGU,50 MG,,/ML SOL INJ IM CT  SER PREENC VD TRANS X 5ML + 2 AGU,X 2
50 MG/ML SOL INJ IM CT  X 2 SER PREENC VD TRANS X 5 ML + 2 AGU,50 MG,,/ML SOL INJ IM CT   SER PREENC VD TRANS X 5 ML + 2 AGU,X 2
100 MG COM REV CT BL AL AL X 30,100 MG,COM REV CT BL AL AL X 30,,
150 MG COM REV CT BL AL AL X 30,150 MG,COM REV CT BL AL AL X 30,,
30 MG CAP DURA LIB RETARD CT BL AL AL X 30,30 MG,CAP DURA LIB RETARD CT BL AL AL X 30,,
60 MG CAP DURA LIB RETARD CT BL AL AL X 30,60 MG,CAP DURA LIB RETARD CT BL AL AL X 30,,
10 MG/ML SOL DIL INFUS CT 2 FR VD TRANS X 10 ML,10 MG,,/ML SOL DIL INFUS CT 2 FR VD TRANS  ML,X 10
10 MG/ML SOL DIL  INFUS CT 1 FR VD TRANS X 50 ML,10 MG,,/ML SOL DIL  INFUS CT 1 FR VD TRANS  ML,X 50
250 MG COM CT FR PLAS PEAD OPC X 120,250 MG,COM CT FR PLAS PEAD OPC X 120,,
75 MG COM LIB LENTA CT BL AL PLAS TRANS X 20,75 MG,COM LIB LENTA CT BL AL PLAS TRANS X 20,,
25 MG COM REV CT BL AL PLAS TRANS X 20,25 MG,COM REV CT BL AL PLAS TRANS X 20,,
2 G + 250 MG PO LIOF SOL INJ IV CT 10 FA VD TRANS,2 G,,+ 250 MG PO LIOF SOL INJ IV CT 10 FA VD TRANS,
4 G + 500 MG PO LIOF SOL INJ IV CT 10 FA VD TRANS,4 G,,+ 500 MG PO LIOF SOL INJ IV CT 10 FA VD TRANS,
400 MG COM REV CT BL AL AL X 14,400 MG,COM REV CT BL AL AL X 14,,
20 MG COM REV CT BL AL AL X 7,20 MG,COM REV CT BL AL AL X 7,,
20 MG COM REV CT BL AL AL X 60,20 MG,COM REV CT BL AL AL X 60,,
20 MG COM REV CT BL AL AL X 30,20 MG,COM REV CT BL AL AL X 30,,
10 MG COM REV CT BL AL AL X 7,10 MG,COM REV CT BL AL AL X 7,,
10 MG COM REV CT BL AL AL X 60,10 MG,COM REV CT BL AL AL X 60,,
10 MG COM REV CT BL AL AL X 30,10 MG,COM REV CT BL AL AL X 30,,
15 MG COM REV CT BL AL AL X 30,15 MG,COM REV CT BL AL AL X 30,,
15 MG COM REV CT BL AL AL X 60,15 MG,COM REV CT BL AL AL X 60,,
